,Institución,Código Único,Nombre del establecimiento,Clasificación,Tipo,Departamento,Provincia,Distrito,UBIGEO,Dirección,Código DISA,Código Red,Código Microrred,DISA,Red,Microrred,Código UE,Unidad Ejecutora,Categoria,Teléfono,Tipo Doc.Categorización,Nro.Doc.Categorización,Horario,Inicio de Actividad,Director Médico y/o Responsable de la Atención de Salud,Estado,Situación,Condición,Inspección,NORTE,ESTE,COTA,CAMAS,lon,lat
17424,SANIDAD DE LA POLICIA NACIONAL DEL PERU,13591,HOSPITAL NACIONAL POLICIA NACIONAL DEL PERU GRAL PNP LUIS N. SAENZ.,HOSPITALES O CLINICAS DE ATENCION GENERAL,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,LIMA,LIMA,JESUS MARIA,150113,AVENIDA BRASIL CUADRA 26 S/N S/N AVENIDA BRASIL CUADRA 26 S/N MIRAFLORES LIMA LIMA ,23,0,0,LIMA SUR,NO PERTENECE A NINGUNA RED,NO PERTENECE A NINGUNA MICRORED,0, ,III-1,01-4630011 ,RESOLUCIÓN,,24 HORAS,30/11/1942,LUIS ALBERTO CASTILLO MIRANDA ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-77.0611078,-12.0839746,,267.0,-77.0611078,-12.0839746
17426,GOBIERNO REGIONAL,2289,HOSPITAL DE APOYO DEPARTAMENTAL CUSCO,HOSPITALES O CLINICAS DE ATENCION GENERAL,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,CUSCO,CUSCO,CUSCO,80101,AVENIDA LA CULTURA S/N S/N AV. LA CULTURA S/N CUSCO CUSCO CUSCO ,11,0,0,CUSCO,NO PERTENECE A NINGUNA RED,NO PERTENECE A NINGUNA MICRORED,1130,HOSPITAL DE APOYO DEPARTAMENTAL CUSCO,III-1,227661,RESOLUCIÓN,,Emergencias 24 hras ,01/01/1900,LUIS ALBERTO TORRES CHAVEZ ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-71.95571333,-13.52314833,3344.6,310.0,-71.95571333,-13.52314833
17468,MINSA,6212,HOSPITAL DE EMERGENCIAS PEDIATRICAS,HOSPITALES O CLINICAS DE ATENCION ESPECIALIZADA,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,LIMA,LIMA,LA VICTORIA,150115,AVENIDA AV GRAU 854 - PROLONG JR HUAMANGA 147 DISTRITO LA VICTORIA PROVINCIA LIMA DEPARTAMENTO LIMA ,23,0,0,LIMA SUR,NO PERTENECE A NINGUNA RED,NO PERTENECE A NINGUNA MICRORED,147,HOSPITAL DE EMERGENCIAS PEDIATRICAS,III-E,2158838; 4749810,RESOLUCIÓN,RD 463 DG -DESI -DSS-DIRESA -L -2010,24 HORAS,12/07/1985,MIGUEL ANGEL VILLENA NAKAMURA ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-77.0217293,-12.0581708,,44.0,-77.0217293,-12.0581708
17617,GOBIERNO REGIONAL,5196,REGIONAL DOCENTE DE TRUJILLO,HOSPITALES O CLINICAS DE ATENCION ESPECIALIZADA,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,LA LIBERTAD,TRUJILLO,TRUJILLO,130101,AVENIDA AV. MANSICHE S/N NÚMERO S/N DISTRITO TRUJILLO PROVINCIA TRUJILLO DEPARTAMENTO LA LIBERTAD ,18,0,0,LA LIBERTAD,NO PERTENECE A NINGUNA RED,NO PERTENECE A NINGUNA MICRORED,847,SALUD NORTE ASCOPE,III-1,044481200,RESOLUCIÓN,035-2014,24 HORAS,19/08/1963,FERNANDO GUILLERMO GIL RODRIGUEZ ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-79.03687835,-8.10466063,,228.0,-79.03687835,-8.10466063
17655,SANIDAD DEL EJERCITO DEL PERU,18659,HOSPITAL MILITAR DIVISIONARIO III DE AREQUIPA,HOSPITALES O CLINICAS DE ATENCION GENERAL,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,AREQUIPA,AREQUIPA,MARIANO MELGAR,40109,ZOLEZZI,4,0,0,AREQUIPA,NO PERTENECE A NINGUNA RED,NO PERTENECE A NINGUNA MICRORED,0, ,II-1,054-455327,RESOLUCIÓN,0122-2017,8.00-18.00. EMERGENC,04/03/1993,ANTONIO RAFAEL CUYA BASURCO ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-71.5125403,-16.400656,,22.0,-71.5125403,-16.400656
17740,GOBIERNO REGIONAL,6733,HOSPITAL  MOYOBAMBA,HOSPITALES O CLINICAS DE ATENCION GENERAL,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,SAN MARTIN,MOYOBAMBA,MOYOBAMBA,220101,CARRETERA CARRETERA BAÑOS TERMALES KM 1.5 CARRETERA BAÑOS TERMALES KM 1.5 MOYOBAMBA MOYOBAMBA SAN MARTIN ,30,5,0,SAN MARTIN,MOYOBAMBA,NO PERTENECE A NINGUNA MICRORED,1058,SALUD ALTO MAYO,II-1,042-562733,RESOLUCIÓN,RD N° 588-2013-GRSM/DIRES-SM/DIREFISSA,24 HORAS,01/01/1968,JUAN DANIEL MAURICIO ROBLADILLO ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-76.972225,-6.05572833,874.4,10.0,-76.972225,-6.05572833
17827,GOBIERNO REGIONAL,7638,HOSPITAL CHANCAY Y SERVICIOS BASICOS DE SALUD,HOSPITALES O CLINICAS DE ATENCION GENERAL,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,LIMA,HUARAL,CHANCAY,150605,JIRÓN JR. . SUCRE S/N NÚMERO S/N DISTRITO CHANCAY PROVINCIA HUARAL DEPARTAMENTO LIMA ,22,3,0,LIMA,RED III HUARAL - CHANCAY,NO PERTENECE A NINGUNA MICRORED,1290,HOSPITAL CHANCAY Y SERVICIOS BASICOS DE SALUD,II-2,01 -3771037,RESOLUCIÓN,RD 463 DG -DESI -DSS-DIRESA -L -2010,00:00 - 24:00,17/09/1971,MARCOS ROBERTO TALLA MUCHAYPIÑA ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-77.27058037,-11.56082038,68.0,72.0,-77.27058037,-11.56082038
17831,SANIDAD DEL EJERCITO DEL PERU,12953,HOSPITAL MILITAR I DIVISION DEL EJERCITO PIURA,HOSPITALES O CLINICAS DE ATENCION GENERAL,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,PIURA,PIURA,CASTILLA,200104,AVENIDA CAYETANO HEREDIA Nº 100 DISTRITO CASTILLA PROVINCIA PIURA  DEPARTAMENTO PIURA ,28,0,0,PIURA,NO PERTENECE A NINGUNA RED,NO PERTENECE A NINGUNA MICRORED,0, ,I-4,073-343569,RESOLUCIÓN,0100-2015/GOB.REG.PIURA-DRSP-DESP-DSS,24 HORAS,05/09/1954,ALFREDO ERNESTO BARNABY RODRIGUEZ ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-80.62051333,-5.195895,48.2,25.0,-80.62051333,-5.195895
17905,MINSA,7633,HOSPITAL NACIONAL CAYETANO HEREDIA,HOSPITALES O CLINICAS DE ATENCION ESPECIALIZADA,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,LIMA,LIMA,SAN MARTIN DE PORRES,150135,AVENIDA AV. HONORIO DELGADO 262 URB. INGENIERIA AV. HONORIO DELGADO 262 URB. INGENIERIA SAN MARTIN DE PORRES LIMA LIMA ,23,0,0,LIMA SUR,NO PERTENECE A NINGUNA RED,NO PERTENECE A NINGUNA MICRORED,137,HOSPITAL CAYETANO HEREDIA,III-1,4820402,RESOLUCIÓN,,24 HORAS,21/07/1968,EMILIO ANDRES CABELLO MORALES ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-77.0544967,-12.0220216,,374.0,-77.0544967,-12.0220216
17930,GOBIERNO REGIONAL,5314,HOSPITAL DE APOYO OTUZCO ELPIDIO BEROVIDES PEREZ,HOSPITALES O CLINICAS DE ATENCION GENERAL,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,LA LIBERTAD,OTUZCO,OTUZCO,130601,JIRÓN JR. PROGRESO Nº 385 DISTRITO OTUZCO PROVINCIA OTUZCO DEPARTAMENTO LA LIBERTAD ,18,3,0,LA LIBERTAD,RED OTUZCO,NO PERTENECE A NINGUNA MICRORED,853,SALUD OTUZCO,II-1,044-436281,RESOLUCIÓN,1691,24HRAS,29/09/1988,ALEX FARLY CORCUERA CRUZ ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-78.5650786,-7.90529148,2658.0,24.0,-78.5650786,-7.90529148
18062,GOBIERNO REGIONAL,1813,HOSPITAL DE APOYO HUARI,HOSPITALES O CLINICAS DE ATENCION GENERAL,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,ANCASH,HUARI,HUARI,21001,AVENIDA CIRCUNVALACION BAJA S/N HUARI NÚMERO S/N DISTRITO HUARI PROVINCIA HUARI DEPARTAMENTO ANCASH ,2,5,0,ANCASH,CONCHUCOS SUR,NO PERTENECE A NINGUNA MICRORED,746,REGION ANCASH-SALUD HUARI,II-1,04353090,RESOLUCIÓN,589-2005-REGION-ANCASH-DIRES/DIPER,24 HORAS,10/03/2000,GLADYS YULEANDREA BRAVO JARA ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-77.16777014,-9.34198474,3072.0,22.0,-77.16777014,-9.34198474
18201,GOBIERNO REGIONAL,1719,CASMA,HOSPITALES O CLINICAS DE ATENCION GENERAL,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,ANCASH,CASMA,CASMA,20801,AV. GARCILAZO DE LA VEGA Nº 659,2,3,0,ANCASH,PACIFICO SUR,NO PERTENECE A NINGUNA MICRORED,1421,GOB. REG. ANCASH - RED DE SALUD PACIFICO SUR,II-1,043-411299,RESOLUCIÓN,748-2007-REGION-ANCASH-DIRES/DIPER,24 HORAS,30/03/1964,CLUBER BALDEMAR DIAZ DIAZ ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-78.30498052,-9.47397062,60.0,31.0,-78.30498052,-9.47397062
18285,GOBIERNO REGIONAL,5217,HOSPITAL DISTRITAL EL ESFUERZO DE FLORENCIA DE MORA,HOSPITALES O CLINICAS DE ATENCION GENERAL,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,LA LIBERTAD,TRUJILLO,FLORENCIA DE MORA,130103,CALLE CALLE 18 DE MAYO Nº 1356 DISTRITO FLORENCIA DE MORA PROVINCIA TRUJILLO DEPARTAMENTO LA LIBERTAD ,18,5,2,LA LIBERTAD,RED TRUJILLO,FLORENCIA DE MORA,854,SALUD TRUJILLO ESTE,II-1,TEL: 044-425662,RESOLUCIÓN,164,24 HORAS,18/05/1984,CARLOS JOSE RAMIREZ BIAGGI ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-79.02560454,-8.08771881,92.951,6.0,-79.02560454,-8.08771881
18348,GOBIERNO REGIONAL,980,ERNESTO GERMAN GUZMÁN GONZALES,HOSPITALES O CLINICAS DE ATENCION GENERAL,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,PASCO,OXAPAMPA,OXAPAMPA,190301,JR. BOTTGER 760 - OXAPAMPA,27,3,0,PASCO,OXAPAMPA,NO PERTENECE A NINGUNA MICRORED,891,SALUD UTES OXAPAMPA,II-1, ,RESOLUCIÓN,181-2007-DG-DIRESA/DG.PASCO,24 HORAS,01/01/1900,CECILIA MARLENE GALARZA SUAREZ ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-75.40243233,-10.57623919,1845.0,,-75.40243233,-10.57623919
18398,GOBIERNO REGIONAL,3359,SANTA MARIA DEL SOCORRO,HOSPITALES O CLINICAS DE ATENCION GENERAL,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,ICA,ICA,ICA,110101,CALLE CALLE CASTROVIRREYNA N° 759 CALLE CASTROVIRREYNA N° 759 ICA ICA ICA ,15,1,0,ICA,ICA-PALPA-NAZCA,NO PERTENECE A NINGUNA MICRORED,1196,HOSPITAL DE APOYO SANTA MARIA DEL SOCORRO,II-1,056-233112,RESOLUCIÓN,,24 HORAS,01/01/1900,CONSTANTINO SEVERO VILA CORDOVA ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-75.72981667,-14.05681167,423.3,120.0,-75.72981667,-14.05681167
18538,GOBIERNO REGIONAL,5292,HOSPITAL DE APOYO TOMAS LAFORA,HOSPITALES O CLINICAS DE ATENCION GENERAL,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,LA LIBERTAD,PACASMAYO,GUADALUPE,130702,JIRÓN JR. LA VICTORIA S/N NÚMERO S/N DISTRITO GUADALUPE PROVINCIA PACASMAYO DEPARTAMENTO LA LIBERTAD ,18,4,0,LA LIBERTAD,RED PACASMAYO,NO PERTENECE A NINGUNA MICRORED,850,SALUD PACASMAYO,II-1,044-566099,RESOLUCIÓN,1012,"7:00 AM - 1:00 PM, E",29/09/1988,CARLOS GIENCHUN YI LEAU ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-79.47441,-7.241255,101.1,10.0,-79.47441,-7.241255
18540,GOBIERNO REGIONAL,1765,"HOSPITAL DE APOYO DE POMABAMBA "" ANTONIO CALDAS DOMINGUEZ""",HOSPITALES O CLINICAS DE ATENCION GENERAL,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,ANCASH,POMABAMBA,POMABAMBA,21601,AVENIDA AV. SEÑOR DE LOS MILAGROS S/N - HUAJTACHACRA NÚMERO S/N DISTRITO POMABAMBA PROVINCIA POMABAMBA DEPARTAMENTO ANCASH ,2,6,0,ANCASH,CONCHUCOS NORTE,NO PERTENECE A NINGUNA MICRORED,745,REGION ANCASH-SALUD POMABAMBA,II-1,043-451105,RESOLUCIÓN,0405-2005-REGION-ANCASH-DIRES/DIPER,24 HORAS,20/09/1942,GALO ERNESTO PACHAS RIOS ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-77.4641063,-8.81402076,3005.0,26.0,-77.4641063,-8.81402076
18549,GOBIERNO REGIONAL,5366,HOSPITAL PROVINCIAL DE BOLIVAR,HOSPITALES O CLINICAS DE ATENCION GENERAL,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,LA LIBERTAD,BOLIVAR,BOLIVAR,130301,AVENIDA AV. DOS DE MAYO Nº 120 DISTRITO BOLIVAR PROVINCIA BOLIVAR DEPARTAMENTO LA LIBERTAD ,18,8,1,LA LIBERTAD,RED BOLIVAR,BOLIVAR NORTE,845,SALUD LA LIBERTAD,II-1,044-230299,RESOLUCIÓN,RGR 0332-2014-GRLL-GGR-GRSS,24 HRS,29/09/1988,EDGAR LOPEZ CHAVEZ ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-77.70568964,-7.15162358,3156.0,8.0,-77.70568964,-7.15162358
18673,GOBIERNO REGIONAL,5375,HOSPITAL PROVINCIAL DE TAYABAMBA,HOSPITALES O CLINICAS DE ATENCION GENERAL,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,LA LIBERTAD,PATAZ,TAYABAMBA,130801,AVENIDA AV. DOS DE MAYO S/N NÚMERO S/N DISTRITO TAYABAMBA PROVINCIA PATAZ DEPARTAMENTO LA LIBERTAD ,18,9,2,LA LIBERTAD,RED PATAZ,PATAZ SUR,845,SALUD LA LIBERTAD,II-1,790283,RESOLUCIÓN,,24 horas,29/09/1988,ANA MARIA HUACCHA QUILICHE ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-77.298845,-8.27191667,3194.6,4.0,-77.298845,-8.27191667
18677,GOBIERNO REGIONAL,5576,HOSPITAL REGIONAL DE PUCALLPA,HOSPITALES O CLINICAS DE ATENCION GENERAL,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,UCAYALI,CORONEL PORTILLO,CALLERIA,250101,JIRÓN JR: AGUSTIN CAUPER Nº 285 - PUCALLPA JR: AGUSTIN CAUPER Nº 285 - PUCALLPA CALLERIA CORONEL PORTILLO UCAYALI ,34,0,0,UCAYALI,NO PERTENECE A NINGUNA RED,NO PERTENECE A NINGUNA MICRORED,951,HOSPITAL DE APOYO DE PUCALLPA,II-2,061-575209,RESOLUCIÓN,,24 HORAS,24/04/1968,MARCOS JESUS BARDALES PIZARRO ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-74.53112611,-8.37693929,186.0,173.0,-74.53112611,-8.37693929
18816,GOBIERNO REGIONAL,5209,HOSPITAL DISTRITAL DE EL PORVENIR SANTA ISABEL,HOSPITALES O CLINICAS DE ATENCION GENERAL,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,LA LIBERTAD,TRUJILLO,EL PORVENIR,130102,OTROS GABRIEL AGUILAR Nº 1605 DISTRITO EL PORVENIR PROVINCIA TRUJILLO DEPARTAMENTO LA LIBERTAD ,18,5,7,LA LIBERTAD,RED TRUJILLO,PORVENIR,854,SALUD TRUJILLO ESTE,II-1,TEL: 044-401002,RESOLUCIÓN,161,24 HORAS,24/11/1985,JULIO CESAR ALVAREZ RIEGA ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-78.99735656,-8.08325535,114.488,14.0,-78.99735656,-8.08325535
18827,GOBIERNO REGIONAL,5850,HOSPITAL SAN JUAN DE MATUCANA,HOSPITALES O CLINICAS DE ATENCION GENERAL,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,LIMA,HUAROCHIRI,MATUCANA,150701,AVENIDA AV FLORIDA S/N -COSTADO DE LA UGEL NÚMERO S/N DISTRITO MATUCANA PROVINCIA HUAROCHIRI DEPARTAMENTO LIMA ,22,9,0,LIMA,RED IX HUAROCHIRI,NO PERTENECE A NINGUNA MICRORED,1404,RED DE SALUD HUAROCHIRI,II-1,01- 3782051,RESOLUCIÓN,RD 463 DG -DESI -DSS-DIRESA -L -2010,LUN-DOM: 24 HORAS,01/01/1900,BRAULIO RENE VALDERRAMA ATAYUPANQUI ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-76.381897,-11.842977,2378.0,15.0,-76.381897,-11.842977
18845,MINSA,6213,HOSPITAL DE EMERGENCIAS JOSE CASIMIRO ULLOA,HOSPITALES O CLINICAS DE ATENCION ESPECIALIZADA,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,LIMA,LIMA,MIRAFLORES,150122,AVENIDA AV. ROOSVELT N° 6355 (EX AV. REPUBLICA DE PANAMA) AV. ROOSVELT N° 6355 (EX AV. REPUBLICA DE PANAMA) MIRAFLORES LIMA LIMA ,23,0,0,LIMA SUR,NO PERTENECE A NINGUNA RED,NO PERTENECE A NINGUNA MICRORED,146,HOSPITAL DE EMERGENCIAS CASIMIRO ULLOA,III-E,4443177,RESOLUCIÓN,R.A. 1026-15-DESP-DISA-II-LS.pdf,24 HORAS DEL DIA,24/07/1980,ENRIQUE ELADIO GUTIERREZ YOZA ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-77.0180619,-12.1282107,,71.0,-77.0180619,-12.1282107
18858,GOBIERNO REGIONAL,2469,SAN JUAN DE KIMBIRI-VRAEM,HOSPITALES O CLINICAS DE ATENCION ESPECIALIZADA,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,CUSCO,LA CONVENCION,KIMBIRI,80907,AVENIDA AVENIDA AEROPUERTOS/Nº / KIMBIRI / LA CONVENCIÓN / CUSCO S/N AVENIDA AEROPUERTOS/Nº / KIMBIRI / LA CONVENCIÓN / CUSCO KIMBIRI LA CONVENCION CUSCO ,11,5,1,CUSCO,KIMBIRI PICHARI,KIMBIRI,1347,RED DE SERVICIOS DE SALUD KIMBIRI PICHARI,II-E,066325197,RESOLUCIÓN,,CONSULTA EXTERNA 9:0,16/07/2001,LINDA LEYDA GUTIERREZ PEÑA ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-73.79299422,-12.61694142,612.0,43.0,-73.79299422,-12.61694142
18863,GOBIERNO REGIONAL,210,HOSPITAL SANTA GEMA DE  YURIMAGUAS,HOSPITALES O CLINICAS DE ATENCION GENERAL,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,LORETO,ALTO AMAZONAS,YURIMAGUAS,160201,JIRÓN JR. PROGRESO 305 - 307 DISTRITO YURIMAGUAS PROVINCIA ALTO AMAZONAS DEPARTAMENTO LORETO ,24,0,0,LORETO,NO PERTENECE A NINGUNA RED,NO PERTENECE A NINGUNA MICRORED,1407,HOSPITAL SANTA GEMA DE YURIMAGUAS,II-1,065-356125,RESOLUCIÓN,,24 HORAS,01/01/1942,ARMANDO SANCHEZ TUANAMA ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-76.10645167,-5.89353,143.6,114.0,-76.10645167,-5.89353
18883,GOBIERNO REGIONAL,1795,HOSPITAL DE APOYO SIHUAS,HOSPITALES O CLINICAS DE ATENCION GENERAL,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,ANCASH,SIHUAS,SIHUAS,21901,JIRÓN JR. DANIEL ALCIDES CARRION S/N - AGUASHIRCA-SIHUAS NÚMERO S/N DISTRITO SIHUAS PROVINCIA SIHUAS DEPARTAMENTO ANCASH ,2,6,0,ANCASH,CONCHUCOS NORTE,NO PERTENECE A NINGUNA MICRORED,745,REGION ANCASH-SALUD POMABAMBA,II-1,043-441050,RESOLUCIÓN,749-2007-REGION-ANCASH-DIRES/DIPER,24 HORAS,04/05/1991,MARLEE MELISSA MARISOL RODRIGUEZ RODRIGUEZ ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-77.63220171,-8.55279302,2754.0,4.0,-77.63220171,-8.55279302
18918,GOBIERNO REGIONAL,7152,HOSPITAL DISTRITAL ALTO MOCHE-WALTER CRUZ VILCA,HOSPITALES O CLINICAS DE ATENCION GENERAL,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,LA LIBERTAD,TRUJILLO,MOCHE,130107,OTROS MZ Nº 37 LOTE 01 DISTRITO MOCHE PROVINCIA TRUJILLO DEPARTAMENTO LA LIBERTAD ,18,5,6,LA LIBERTAD,RED TRUJILLO,MOCHE,854,SALUD TRUJILLO ESTE,II-1,TEL: 044-465024,RESOLUCIÓN,RG 0108-2011-GRLL-GGR/GRS,24 HORAS,21/09/2007,PAULITA ANDREA MORENO CASTILLO ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-78.98932943,-8.18523488,61.464,15.0,-78.98932943,-8.18523488
18942,GOBIERNO REGIONAL,5243,HOSPITAL DISTRITAL VISTA ALEGRE,HOSPITALES O CLINICAS DE ATENCION GENERAL,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,LA LIBERTAD,TRUJILLO,VICTOR LARCO HERRERA,130111,JIRÓN JIRON BERNARDO ALCEDO Nº 193 DISTRITO VICTOR LARCO HERRERA PROVINCIA TRUJILLO DEPARTAMENTO LA LIBERTAD ,18,5,9,LA LIBERTAD,RED TRUJILLO,VICTOR LARCO,854,SALUD TRUJILLO ESTE,II-1,TEL: 044-281380,RESOLUCIÓN,RGR 1365-2011-GRLL-GGR/GRS,24 HORAS,01/07/1970,GONZALO ALFREDO RODRIGUEZ ESPEJO ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-79.04842534,-8.13853166,23.435,14.0,-79.04842534,-8.13853166
19102,GOBIERNO REGIONAL,4981,SANTA MARIA DE CUTERVO,HOSPITALES O CLINICAS DE ATENCION GENERAL,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,CAJAMARCA,CUTERVO,CUTERVO,60601,JR. EL INCA S/N-CUTERVO,7,13,1,CAJAMARCA,CUTERVO,CUTERVO,787,REGION CAJAMARCA-SALUD CUTERVO,II-1,RADIO: 6286 - NOVEMBER 2,RESOLUCIÓN,002-2015 GR.CAJ/DRS-DESP,24 HORAS,02/03/2005,JESUS RONAL PEREZ FERNANDEZ ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-78.81547418,-6.37982477,2651.0,29.0,-78.81547418,-6.37982477
19109,GOBIERNO REGIONAL,5044,HOSPITAL DE APOYO GUSTAVO LANATTA LUJAN,HOSPITALES O CLINICAS DE ATENCION GENERAL,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,AMAZONAS,BAGUA,BAGUA,10201,AVENIDA AVENIDA HEROES DEL CENEPA N° 980 - BAGUA CAPITAL AVENIDA HEROES DEL CENEPA N° 980 - BAGUA CAPITAL BAGUA BAGUA AMAZONAS ,1,2,0,AMAZONAS,BAGUA,NO PERTENECE A NINGUNA MICRORED,1101,REGION AMAZONAS-HOSPITAL DE APOYO BAGUA,II-1,041-771159,RESOLUCIÓN,,24 HORAS,01/01/1980,SIVILY MEDALY TORRES HUAMAN ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-78.53075225,-5.63951591,435.0,90.0,-78.53075225,-5.63951591
19149,GOBIERNO REGIONAL,981,"HOSP. ""ROMAN EGOAVIL PANDO"" VILLA RICA",HOSPITALES O CLINICAS DE ATENCION GENERAL,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,PASCO,OXAPAMPA,VILLA RICA,190307,AV. VALENTIN CUEVA S/N- VILLA RICA,27,3,3,PASCO,OXAPAMPA,VILLA RICA,891,SALUD UTES OXAPAMPA,II-1,ACTUALIZAR,RESOLUCIÓN,360-2014-DG-DIRESA/GR PASCO,8:00AM AL 8:00PM,01/01/1900,RAFAEL JULIAN ALARCON FLORES ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-75.27326684,-10.73703831,1539.204,,-75.27326684,-10.73703831
19389,MINSA,6211,HOSPITAL DE APOYO SANTA ROSA,HOSPITALES O CLINICAS DE ATENCION ESPECIALIZADA,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,LIMA,LIMA,PUEBLO LIBRE,150121,AV. BOLIVAR S/N CUADRA 8,23,0,0,LIMA SUR,NO PERTENECE A NINGUNA RED,NO PERTENECE A NINGUNA MICRORED,145,HOSPITAL DE APOYO SANTA ROSA,III-1,6158200,RESOLUCIÓN,RD 463 DG -DESI -DSS-DIRESA -L -2010,24 HORAS,26/07/1956,MARCO ANTONIO PEREZ MENDOZA ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-77.0610651,-12.0716016,,193.0,-77.0610651,-12.0716016
19560,GOBIERNO REGIONAL,2818,HOSPITAL ILO,HOSPITALES O CLINICAS DE ATENCION GENERAL,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,MOQUEGUA,ILO,ILO,180301,AVENIDA AVENIDA Nº 01 LOTE 01 MZ. C AREA 4 (A-4) PAMPA INALAMBRICA DISTRITO ILO PROVINCIA ILO DEPARTAMENTO MOQUEGUA ,26,2,1,MOQUEGUA,ILO,ILO,1172,SALUD ILO,II-1,53570368,RESOLUCIÓN,,24 HORAS (SERVICIOS ,23/05/2011,RUSO ELOY MENA CHEZZY ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-71.33732667,-17.65383667,155.7,45.0,-71.33732667,-17.65383667
19649,GOBIERNO REGIONAL,1587,HOSPITAL DE APOYO CARAZ,HOSPITALES O CLINICAS DE ATENCION GENERAL,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,ANCASH,HUAYLAS,CARAZ,21201,AVENIDA AV. 9 DE OCTUBRE S/N - CARAZ NÚMERO S/N DISTRITO CARAZ PROVINCIA HUAYLAS DEPARTAMENTO ANCASH ,2,2,0,ANCASH,HUAYLAS NORTE,NO PERTENECE A NINGUNA MICRORED,744,REGION ANCASH-SALUD CARAZ,II-1,043-391026,RESOLUCIÓN,0713-2006-REGION-ANCASH-DIRES/DIPER,24 HORAS,01/07/1970,LUIS ALBERTO NOVOA RAMIREZ ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-77.80641228,-9.04451173,2316.0,34.0,-77.80641228,-9.04451173
